number,value,datetime_start,datetime_complete,duration,params_estimator,params_estimator__fit_intercept,params_estimator__max_depth,params_estimator__max_features,params_estimator__min_samples_leaf,params_estimator__min_samples_split,params_estimator__n_estimators,params_estimator__normalize,params_feature_selector__k,params_preprocessor__categorical__cleaner__strategy,params_preprocessor__categorical__encoder,params_preprocessor__numerical__cleaner__strategy,params_preprocessor__numerical__scaler,state
133,2.7722857883928405,2021-07-25 17:24:03.905922,2021-07-25 17:24:06.168232,0 days 00:00:02.262310,RandomForest,,11.0,sqrt,8.0,6.0,247.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
134,2.4228906661454985,2021-07-25 17:24:04.071148,2021-07-25 17:24:06.428656,0 days 00:00:02.357508,RandomForest,,11.0,sqrt,2.0,6.0,247.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
135,2.4255285992381603,2021-07-25 17:24:04.363480,2021-07-25 17:24:06.720942,0 days 00:00:02.357462,RandomForest,,10.0,sqrt,2.0,6.0,246.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
136,2.4296931248998788,2021-07-25 17:24:04.760303,2021-07-25 17:24:06.948341,0 days 00:00:02.188038,RandomForest,,10.0,sqrt,2.0,6.0,208.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
137,2.4379631182739465,2021-07-25 17:24:05.001082,2021-07-25 17:24:07.224007,0 days 00:00:02.222925,RandomForest,,10.0,sqrt,2.0,6.0,234.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
138,2.423569394673764,2021-07-25 17:24:05.302181,2021-07-25 17:24:07.566214,0 days 00:00:02.264033,RandomForest,,10.0,sqrt,2.0,6.0,233.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
139,2.3904937128009807,2021-07-25 17:24:05.558092,2021-07-25 17:24:07.856464,0 days 00:00:02.298372,RandomForest,,10.0,sqrt,2.0,6.0,233.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
140,2.41518777165313,2021-07-25 17:24:05.898427,2021-07-25 17:24:08.112539,0 days 00:00:02.214112,RandomForest,,10.0,sqrt,2.0,5.0,234.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
141,2.408084733622758,2021-07-25 17:24:06.173425,2021-07-25 17:24:08.321225,0 days 00:00:02.147800,RandomForest,,10.0,sqrt,2.0,5.0,209.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
142,2.416934636366669,2021-07-25 17:24:06.433854,2021-07-25 17:24:08.582386,0 days 00:00:02.148532,RandomForest,,10.0,sqrt,2.0,5.0,233.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
143,2.4048229124961784,2021-07-25 17:24:06.725888,2021-07-25 17:24:08.961663,0 days 00:00:02.235775,RandomForest,,10.0,sqrt,2.0,5.0,233.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
144,2.4074949580749183,2021-07-25 17:24:06.949878,2021-07-25 17:24:09.140736,0 days 00:00:02.190858,RandomForest,,13.0,log2,2.0,5.0,235.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
145,2.40550852503311,2021-07-25 17:24:07.225528,2021-07-25 17:24:09.494647,0 days 00:00:02.269119,RandomForest,,13.0,log2,2.0,5.0,228.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
146,2.4050226630328533,2021-07-25 17:24:07.567767,2021-07-25 17:24:09.778988,0 days 00:00:02.211221,RandomForest,,13.0,log2,2.0,5.0,230.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
147,2.472087863452533,2021-07-25 17:24:07.858020,2021-07-25 17:24:09.958771,0 days 00:00:02.100751,RandomForest,,11.0,log2,3.0,5.0,227.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
148,2.4072296490526197,2021-07-25 17:24:08.117733,2021-07-25 17:24:10.310404,0 days 00:00:02.192671,RandomForest,,11.0,sqrt,2.0,5.0,227.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
149,2.4213026493737124,2021-07-25 17:24:08.322702,2021-07-25 17:24:10.433455,0 days 00:00:02.110753,RandomForest,,11.0,log2,2.0,5.0,230.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
150,2.414806749833731,2021-07-25 17:24:08.583881,2021-07-25 17:24:10.819387,0 days 00:00:02.235506,RandomForest,,11.0,log2,2.0,5.0,229.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
151,2.399013970814825,2021-07-25 17:24:08.966737,2021-07-25 17:24:11.240482,0 days 00:00:02.273745,RandomForest,,11.0,sqrt,2.0,5.0,228.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
152,2.4581160302782847,2021-07-25 17:24:09.142344,2021-07-25 17:24:11.380788,0 days 00:00:02.238444,RandomForest,,11.0,sqrt,3.0,4.0,229.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
153,2.4580636224474786,2021-07-25 17:24:09.499875,2021-07-25 17:24:11.722528,0 days 00:00:02.222653,RandomForest,,11.0,sqrt,3.0,4.0,228.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
154,2.470099482170499,2021-07-25 17:24:09.785809,2021-07-25 17:24:12.046214,0 days 00:00:02.260405,RandomForest,,11.0,sqrt,3.0,4.0,227.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
155,2.3929447603705967,2021-07-25 17:24:09.963771,2021-07-25 17:24:12.176387,0 days 00:00:02.212616,RandomForest,,12.0,sqrt,2.0,4.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
156,2.4751624378980654,2021-07-25 17:24:10.312922,2021-07-25 17:24:12.648005,0 days 00:00:02.335083,RandomForest,,12.0,sqrt,3.0,4.0,250.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
157,2.4694761467754036,2021-07-25 17:24:10.434997,2021-07-25 17:24:12.852505,0 days 00:00:02.417508,RandomForest,,12.0,sqrt,3.0,4.0,250.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
158,2.4015965402383315,2021-07-25 17:24:10.820941,2021-07-25 17:24:13.110789,0 days 00:00:02.289848,RandomForest,,12.0,sqrt,2.0,4.0,166.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
159,2.4348547865668184,2021-07-25 17:24:11.242080,2021-07-25 17:24:13.065324,0 days 00:00:01.823244,RandomForest,,12.0,sqrt,2.0,4.0,74.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
160,2.3732266726483875,2021-07-25 17:24:11.386126,2021-07-25 17:24:13.514109,0 days 00:00:02.127983,RandomForest,,12.0,sqrt,2.0,4.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
161,2.3941354123092866,2021-07-25 17:24:11.724033,2021-07-25 17:24:14.120173,0 days 00:00:02.396140,RandomForest,,12.0,sqrt,2.0,4.0,250.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
162,2.416262825778301,2021-07-25 17:24:12.051611,2021-07-25 17:24:14.346512,0 days 00:00:02.294901,RandomForest,,12.0,sqrt,2.0,5.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
163,2.3752579207600837,2021-07-25 17:24:12.181726,2021-07-25 17:24:14.636726,0 days 00:00:02.455000,RandomForest,,12.0,sqrt,2.0,4.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
164,2.397308059165051,2021-07-25 17:24:12.649668,2021-07-25 17:24:14.991822,0 days 00:00:02.342154,RandomForest,,12.0,sqrt,2.0,4.0,238.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
165,2.408098679845659,2021-07-25 17:24:12.857959,2021-07-25 17:24:15.205605,0 days 00:00:02.347646,RandomForest,,12.0,sqrt,2.0,3.0,221.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
166,2.3694204974290267,2021-07-25 17:24:13.070789,2021-07-25 17:24:15.521753,0 days 00:00:02.450964,RandomForest,,12.0,sqrt,2.0,3.0,238.0,,7,most_frequent,OneHotEncoding,median,,COMPLETE
167,3.6811478389291663,2021-07-25 17:24:13.113043,2021-07-25 17:24:14.952867,0 days 00:00:01.839824,LinearRegression,True,,,,,,True,7,most_frequent,OneHotEncoding,median,RobustScaler,COMPLETE
168,2.3903278290249226,2021-07-25 17:24:13.524117,2021-07-25 17:24:15.798817,0 days 00:00:02.274700,RandomForest,,12.0,sqrt,2.0,3.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
169,2.392035539698809,2021-07-25 17:24:14.121176,2021-07-25 17:24:16.006564,0 days 00:00:01.885388,RandomForest,,12.0,sqrt,2.0,4.0,221.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
170,2.3780745170637183,2021-07-25 17:24:14.348122,2021-07-25 17:24:16.352952,0 days 00:00:02.004830,RandomForest,,12.0,sqrt,2.0,4.0,211.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
171,2.3889194457595586,2021-07-25 17:24:14.638307,2021-07-25 17:24:16.647260,0 days 00:00:02.008953,RandomForest,,12.0,sqrt,2.0,4.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
172,2.393567357225452,2021-07-25 17:24:14.954392,2021-07-25 17:24:16.800195,0 days 00:00:01.845803,RandomForest,,12.0,sqrt,2.0,4.0,219.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
173,2.391602148812139,2021-07-25 17:24:14.994081,2021-07-25 17:24:17.155638,0 days 00:00:02.161557,RandomForest,,12.0,sqrt,2.0,4.0,213.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
174,2.370428594173498,2021-07-25 17:24:15.210755,2021-07-25 17:24:17.304465,0 days 00:00:02.093710,RandomForest,,13.0,sqrt,2.0,4.0,212.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
175,2.4056022019213414,2021-07-25 17:24:15.523263,2021-07-25 17:24:17.640662,0 days 00:00:02.117399,RandomForest,,13.0,sqrt,2.0,4.0,216.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
176,2.4128872924580542,2021-07-25 17:24:15.800524,2021-07-25 17:24:17.957392,0 days 00:00:02.156868,RandomForest,,13.0,sqrt,2.0,3.0,198.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
177,2.581764057903785,2021-07-25 17:24:16.011722,2021-07-25 17:24:18.106663,0 days 00:00:02.094941,RandomForest,,13.0,sqrt,5.0,3.0,214.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
178,2.4115249208932426,2021-07-25 17:24:16.358117,2021-07-25 17:24:18.463263,0 days 00:00:02.105146,RandomForest,,13.0,sqrt,2.0,3.0,212.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
179,2.39255830795941,2021-07-25 17:24:16.652386,2021-07-25 17:24:18.610794,0 days 00:00:01.958408,RandomForest,,13.0,sqrt,2.0,3.0,212.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
180,2.591924596096086,2021-07-25 17:24:16.807891,2021-07-25 17:24:18.881453,0 days 00:00:02.073562,RandomForest,,13.0,sqrt,5.0,3.0,211.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
181,2.3805097685302976,2021-07-25 17:24:17.157836,2021-07-25 17:24:19.206597,0 days 00:00:02.048761,RandomForest,,13.0,sqrt,2.0,3.0,203.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
182,2.4102163404412016,2021-07-25 17:24:17.309658,2021-07-25 17:24:19.389945,0 days 00:00:02.080287,RandomForest,,13.0,sqrt,2.0,3.0,205.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
183,2.4045045292654517,2021-07-25 17:24:17.645697,2021-07-25 17:24:19.665577,0 days 00:00:02.019880,RandomForest,,13.0,sqrt,2.0,3.0,197.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
184,2.4312026455105835,2021-07-25 17:24:17.958915,2021-07-25 17:24:19.944461,0 days 00:00:01.985546,RandomForest,,13.0,sqrt,2.0,3.0,201.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
185,2.392322910031644,2021-07-25 17:24:18.111860,2021-07-25 17:24:20.148706,0 days 00:00:02.036846,RandomForest,,13.0,sqrt,2.0,3.0,217.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
186,2.3974466384164823,2021-07-25 17:24:18.464871,2021-07-25 17:24:20.448212,0 days 00:00:01.983341,RandomForest,,13.0,sqrt,2.0,3.0,206.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
187,2.391188707446292,2021-07-25 17:24:18.612328,2021-07-25 17:24:20.637545,0 days 00:00:02.025217,RandomForest,,12.0,sqrt,2.0,4.0,205.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
188,2.404617753320965,2021-07-25 17:24:18.886492,2021-07-25 17:24:20.926398,0 days 00:00:02.039906,RandomForest,,12.0,sqrt,2.0,4.0,216.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
189,2.388934229706641,2021-07-25 17:24:19.211628,2021-07-25 17:24:21.277119,0 days 00:00:02.065491,RandomForest,,12.0,sqrt,2.0,3.0,205.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
190,2.377843279915274,2021-07-25 17:24:19.391506,2021-07-25 17:24:21.394866,0 days 00:00:02.003360,RandomForest,,12.0,sqrt,2.0,3.0,202.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
191,2.4189025720879513,2021-07-25 17:24:19.667929,2021-07-25 17:24:21.779222,0 days 00:00:02.111293,RandomForest,,12.0,sqrt,2.0,4.0,205.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
192,2.3933388586404134,2021-07-25 17:24:19.950665,2021-07-25 17:24:21.985154,0 days 00:00:02.034489,RandomForest,,12.0,sqrt,2.0,4.0,217.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
193,2.385457341968691,2021-07-25 17:24:20.150292,2021-07-25 17:24:22.226073,0 days 00:00:02.075781,RandomForest,,12.0,sqrt,2.0,4.0,220.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
194,2.3874338526543886,2021-07-25 17:24:20.449755,2021-07-25 17:24:22.516333,0 days 00:00:02.066578,RandomForest,,12.0,sqrt,2.0,4.0,203.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
195,2.41903051106263,2021-07-25 17:24:20.639107,2021-07-25 17:24:22.700134,0 days 00:00:02.061027,RandomForest,,12.0,sqrt,2.0,4.0,205.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
196,2.3715801245203467,2021-07-25 17:24:20.931635,2021-07-25 17:24:23.014609,0 days 00:00:02.082974,RandomForest,,12.0,sqrt,2.0,4.0,202.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
197,2.388748489722146,2021-07-25 17:24:21.282244,2021-07-25 17:24:23.290973,0 days 00:00:02.008729,RandomForest,,11.0,sqrt,2.0,3.0,202.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
198,2.4103011792214857,2021-07-25 17:24:21.399909,2021-07-25 17:24:23.433601,0 days 00:00:02.033692,RandomForest,,12.0,sqrt,2.0,3.0,201.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
199,2.421402652626501,2021-07-25 17:24:21.781662,2021-07-25 17:24:23.599225,0 days 00:00:01.817563,RandomForest,,11.0,sqrt,2.0,3.0,192.0,,10,most_frequent,OneHotEncoding,median,,COMPLETE
